_segment_db_id,url,classlabel,mag,magtype,lat,lon,depth_km,time,dist_deg,net,sta,loc,cha,starttime,endtime
1481590,http://erde.geophysik.uni-muenchen.de/fdsnws/dataselect/1/query,urb_nc,4.6,mb,44.8901,11.244,11.9,2012-05-20T09:13:21,3.02077559995491,BW,BE1,,EHN,2012-05-20T09:13:09,2012-05-20T09:17:09
1440763,http://erde.geophysik.uni-muenchen.de/fdsnws/dataselect/1/query,urb_nc,3.4,ML,44.8282,11.5127,5.0,2012-05-20T02:19:24,3.0991751458889,BW,BE2,,EHZ,2012-05-20T02:19:14,2012-05-20T02:23:14
1442281,http://erde.geophysik.uni-muenchen.de/fdsnws/dataselect/1/query,urb_nc,3.5,mb,44.8609,11.3854,12.7,2012-05-20T02:20:42,3.06285063727384,BW,BE2,,EHN,2012-05-20T02:20:30,2012-05-20T02:24:30
1744322,http://erde.geophysik.uni-muenchen.de/fdsnws/dataselect/1/query,urb_nc,3.2,ML,44.8489,11.2472,10.0,2012-06-12T19:09:15,3.07370728570198,BW,BE2,,EHZ,2012-06-12T19:09:04,2012-06-12T19:13:04
2382765,http://erde.geophysik.uni-muenchen.de/fdsnws/dataselect/1/query,urb_nc,3.6,mb,44.9577,11.2879,15.3,2016-07-04T11:37:23,2.96779315168779,BW,RJOB,,HHE,2016-07-04T11:37:10,2016-07-04T11:41:10
2382766,http://erde.geophysik.uni-muenchen.de/fdsnws/dataselect/1/query,urb_nc,3.6,mb,44.9577,11.2879,15.3,2016-07-04T11:37:23,2.96779315168779,BW,RJOB,,HHN,2016-07-04T11:37:10,2016-07-04T11:41:10
2350961,http://erde.geophysik.uni-muenchen.de/fdsnws/dataselect/1/query,urb_multi,3.5,mb,44.0575,11.3317,14.2,2016-04-25T07:47:51,2.9919793107034,BW,SCE,,HHE,2016-04-25T07:47:38,2016-04-25T07:51:38
3013076,http://erde.geophysik.uni-muenchen.de/fdsnws/dataselect/1/query,urb_multi,3.4,Md,44.5274,10.2195,23.0,2016-10-30T20:15:44,2.71668222672445,BW,SCE,,HHZ,2016-10-30T20:15:26,2016-10-30T20:19:26
1968921,http://eida.gein.noa.gr/fdsnws/dataselect/1/query,urb_multi,3.6,mb,38.7034,17.9301,14.7,2013-07-30T02:13:58,1.76332439013553,HL,KEK,,HHE,2013-07-30T02:13:28,2013-07-30T02:17:28
1987345,http://eida.gein.noa.gr/fdsnws/dataselect/1/query,urb_multi,3.2,Md,39.17,18.84,5.0,2013-08-23T07:58:26,0.916432161081365,HL,KEK,,HHZ,2013-08-23T07:57:43,2013-08-23T08:01:43
1995820,http://eida.gein.noa.gr/fdsnws/dataselect/1/query,urb_nc,3.5,mb,38.7171,17.9761,12.0,2013-09-12T09:59:23,1.72617147796368,HL,KEK,,HHZ,2013-09-12T09:58:53,2013-09-12T10:02:53
3180458,http://eida.gein.noa.gr/fdsnws/dataselect/1/query,urb_multi,4.2,mb,42.9073,18.4791,19.7,2016-11-09T15:58:43,3.14590775860178,HT,NEST,,HHZ,2016-11-09T15:58:32,2016-11-09T16:02:32
2388890,http://eida.gein.noa.gr/fdsnws/dataselect/1/query,urb_nc,3.7,mb,43.7247,18.7883,0.8,2016-07-29T22:38:34,1.02185037992933,ME,KOME,,HHN,2016-07-29T22:37:54,2016-07-29T22:41:54
